bank,city,review,date
AXIS BANK,chennai,Through online website I have applied for the home loan with AXIS bank. The bank people has called me after 15 days which is not really good. Since the response was not good I postponed my plan to some other time. Other then this there was no difficulties with the bank because there was no much processing done. ,"Nov 30, 2014"
AXIS BANK,nagpur,I have postponed my plan of taking the home loan to the next six to seven months. I have not submitted any papers regarding the application to the bank where I gave my request. Over the phone call my application process was completed with AXIS Bank. ,"Nov 30, 2014"
AXIS BANK,chennai,Response is good from axis bank and they also helped for the home loan process.. The only issue is that the processing fee is very high compared to other banks. They do not have any corporate benefits were as other banks are giving such offers. ,"Nov 30, 2014"
AXIS BANK,hyderabad,Everything was fine with AXIS bank regarding my home loan application request. I felt the rate of interest was on the higher side which is 9.60%. The bank executive were asking for the documents but I was unable to submit it because still the builder was confirming the deal to me. Other than this there was no issue with the bank. ,"Nov 30, 2014"
AXIS BANK,bangalore,"Axis bank provided average service of my home loan application. The charges are high . They are not funding the for the í¿ŒéŒËGramapanchayath property,if the customer credential and capacity is good so why cant they provide loans for such property. ","Nov 30, 2014"
AXIS BANK,chennai,Axis bank contacted me many times for home loan process can they explain clearly about the charges in fact very politely. The property was not finalize so not able to take the loan with them. The Interest rate offered was 13% were as in the market they it is nearly 12% so the bank is offering higher rate and processing fee was also very high .,"Nov 30, 2014"
AXIS BANK,bangalore,"My experience with Axis bank it is worst. Their guys did not understand the merit of the customers. My application was on hold till now the service was good. After which it was good with Axis bank. Over all experience was good, their executive should be trained more. With the interest rate and processing fee for home loan, I am satisfied no issues. Since I had a salary account all the major issues was resolved by them. ","Nov 30, 2014"
AXIS BANK,vijayawada,"My feedback is excellent due to personal reason I have cancelled my request. Customer service offered by Axis bank was good. Response was excellent. It w ould be great if they provide quick response to the customer. They have to focus more on customer serive. Important information has to be provided like interest rate , processing fee and how many days they take to offer the loan has to be informed in the first go","Nov 30, 2014"
AXIS BANK,pune,The service and response given by axis bank is good . They gave 10.76% interest rate offered for home loan . They were ready to sanction 80% of the loan amount as i have not finalized the property to take so dropped the plan of taking the loan.,"Nov 30, 2014"
AXIS BANK,mumbai,"Axis bank is offering the standard charges for the home loan process. The executive of the bank inform me to visit the nearest branch of my property which is Darjeeling district.So, that why they closed my online application.","Nov 30, 2014"
AXIS BANK,coimbatore,Response from axis bank was given on the required time for the home loan application and follow up was also good. They gave the oral information and ready to offer the sufficient loan amount but i need the more loan so i kept the process on hold,"Nov 30, 2014"
AXIS BANK,thiruvananthapuram,"I heard about AXIS bank like they are good in process so, I applied for an Home loan. AXIS bank offered me with 9.5% interest which is good and prompt. There was some delay in terms of approval. Due that delay I dropped my plan. But I got the loan from SBI bank. ","Nov 30, 2014"
AXIS BANK,new delhi,The bank has not responded me accordingly. When the AXIS bank executive called me regarding loan application given all the details about my requirement and later to that there was no response from the loan. Till now I am looking for the loan with other banks. It would be nice if they improvise on following the customers. ,"Nov 30, 2014"
AXIS BANK,hyderabad,I have taken housing loan from TATA Capital at that time Axis bank people not interested to provide the loan. Therefore I have not taken the loan from them. No one contacted me form the local bank. Customer service offered by Axis bank was good. Processing fee is rs 5700 is the best.,"Nov 30, 2014"
AXIS BANK,gurgaon,I am not interested in availing the housing loan . I have not finalized the property yet. I have postponed the plan of taking the loan after 2 years. I have asked them to extend the housing loan for the next 2 years . I am very much happy with the service offered by Axis bank and the response provided by them was good,"Nov 30, 2014"
AXIS BANK,pune,"I have taken the housing loan from the Axis bank from other sources. The rate of interest with the Axis bank was around 9.65% and the charges are huge with them and they made me take the life insurance forcefully, also I would like to say that its been depends up on my decision.","Nov 30, 2014"
AXIS BANK,pune,I have not finalized the property still now due to some other reasons. This is the only reason I have processed my home loan application with AXIS bank. They asked for my documents but I did not gave it because the property was not finalized yet. ,"Nov 30, 2014"
AXIS BANK,kochi,"I arranged the funds from my end, so I have not taken the home loan with the Axis bank. The rate of interest was around 9.15% with the home loan for the Axis bank and the services are very good with them. One of the executive have been helped me a lot.","Nov 30, 2014"
AXIS BANK,noida,Overall the axis bank was good in terms of responding on time for my home loan application. Due to the lack of documentation the process is in hold. The service provided was good and they all they all the information. ,"Nov 30, 2014"
AXIS BANK,chennai, Due personal reason i was not able to take the home loan from axis bank. Otherwise the bank is good by giving the response and service. The charges are nominal. Will go with the same bank for my future process.Overall the bank is very good ,"Nov 30, 2014"
AXIS BANK,new delhi,I have not taken the home loan with the Axis bank because of my personal reason. The rate of interest was around 11.95% and am not okay with that. The services are not good with that. I would like to suggest that they to reduce the rate of interest and the documentation process.,"Nov 30, 2014"
AXIS BANK,kolkata,"AXIS Bank is very good bank in terms of Home loan. Their service was very good. They are very much responsive and got an immediate response when I applied for a loan. They follow up was good. But I am looking for Home loan from Government banks so, I dropped the plan.","Nov 30, 2014"
AXIS BANK,mumbai,I got no response for the housing loan application with the Axis bank. The rate of interest was alright for my home loan and there are no issues with them . I guess the interest rate was 9.55% as around. Services are need to be improved from their end.,"Nov 30, 2014"
AXIS BANK,coimbatore,"I got a call from Axis bank for the housing loan they confirmed that I can submit my documents and they will process the request later. They alsoconfirmed that, after confirming the property I can call up and place a request however I have asked them to cancel the request. They did not inform about the interest rate with me and the processing fee is rs 13000 and they also confirmed that there is some discount as well however I am not sure about that as of now I have placed my requerst on hold.","Nov 30, 2014"
AXIS BANK,chennai,"They are very flexible in terms of part payment and free closure. Services provided by AXIS Bank was good in terms of Home loan. But I am looking for loan against property so, they have some formalities. Unfortunately I was unable to take loan from them. ","Nov 30, 2014"
AXIS BANK,coimbatore,"Axis bank housing loan is not to be considered. There was no proper customer care . They dont analyze what the market does. They think they are leaders in the market. They dont attach importance to the customer 's needs. Therefore, I have taken a housing loan from BOI and the service offered by BOI was good. ","Nov 30, 2014"
AXIS BANK,chennai,"Initial process done by AXIS Bank was really good. I have applied for Home loan but I did not taken the loan from them. Loan amount offered by them was less but my requirement was higher. Charges an all quiet higher in AXIS Bank so, I dropped the plan. ","Nov 30, 2014"
AXIS BANK,mumbai,"On October I have applied for the home loan with the Axis bank. Rate of interest for the Axis bank was around 9.70%. In the mean time I got the home loan with the State Bank of India where I have the saving account, also I have approached them as first.","Nov 30, 2014"
AXIS BANK,mumbai,Only the single time i received the call from axis bank and they enquired about the documentation for the home loan process but after that there was no response . Interest rate offered was above 8% and they informed that they will waive of the processing fee.,"Nov 30, 2014"
AXIS BANK,hyderabad,The consultant was in touch with me does not have a sound knowledge about the process. AXIS Bank should make sure that it should not happen again and again. Process is very slow . I have not taken a housing loan from Axis bank because of slow process and I had taken a personal loan from KOTAK.,"Nov 30, 2014"
AXIS BANK,navi mumbai,AXIS bank executive has called me only once regarding my Home loan loan request. He checked all my details and told me that he call back again. But still now there was no response from them. There was no response at all so took this loan from some other bank. ,"Nov 30, 2014"
AXIS BANK,coimbatore,Already Axis bank housing loan is good there is an ongoing personal loan after which I have planned to another loan. Response was very good. I got a call from them after a day's time and the schemes and everything is fine. It would be great if they reduce the interest rate and processing fee was also good.,"Nov 30, 2014"
AXIS BANK,hyderabad, Rate of interest and processing fee for the home loan is very high in axis bank and they are also not given the loan for the gram í¿ŒéŒËpanchayat property by which i do not avail the loan with them . They should approve at least jeevan gram panchayat property and reduce the processing fee. ,"Nov 30, 2014"
AXIS BANK,noida,Experience with axis bank was good. I got the response from them with regards to my home loan process query. The interest rate was nominal but the processing fee was high . My suggestion to the bank is that they should give the information about the final disbursement amount in the initial stage. ,"Nov 30, 2014"
AXIS BANK,pune,"I have got the home loan from some other sources, so I have not go ahead with the Axis bank. The rate of interest was around 9.65% and am fine with that and there are no issues with them even I can say its pretty. In the time I choose the HDFC Ltd to get the home loan.","Nov 30, 2014"
AXIS BANK,ahmedabad,The response was cool with axis bank when i applied for the home loan process. They gave the best interest rate of 10.65% . The service given by them was good . I wish Axis bank to continue with the same service. ,"Nov 30, 2014"
AXIS BANK,mumbai,"I have not finalized the property yet, so I dint took the home loan with the Axis bank. The rate of interest was around 10% and the services are good with them. In future I would not like to go ahead with the Axis bank because some of my friends subscribe other banks for me.","Nov 30, 2014"
AXIS BANK,greater noida,"I inquired for the home loan with the Axis bank and the rate of interest was very good with them. In the mean time I got the home loan with the India bulls, so I have not go ahead with the Axis bank. I would like to say that the customer service of the Axis bank is good.","Nov 30, 2014"
AXIS BANK,bangalore,"Rate of interest with the Axis bank home loan was around 9.75% and am okay with that and there are no issues with them, and I got the housing loan with the Tata capital limited because I am an employee of Tata, so that I can get some good concession over there.","Nov 30, 2014"
AXIS BANK,mumbai,I would suggest you to not go for Axis Bank because first of all it is private bank which is not good for customer. Public Sector Banks are much better than Private Sector Banks as government having control on it and there are less chances of fraud happening internally within the bank. As per my knowledge Axis Bank provides us Home Loan at higher rate of interest as compared to others and give interest on Fixed Deposit at lesser rate of interest. Investing and borrowing from such private sector banks would be loss of customer interest in terms of money.,"Nov 29, 2014"
AXIS BANK,mumbai,The experience with axis bank as they are verifying all the documents with regards to the home loan process which is very good. Interest rate offered was 9.6% which little bit high compared to other banks and depends upon the scheme they charged the lesser documents. ,"Nov 28, 2014"
AXIS BANK,chennai,I have not taken the home loan with the Axis bank because the amount what they quoted was very low while compare with my requirements. The rate of interest was not aware by myself and they have contacted me within one to two days of time. Then I dint shown any interest over there.,"Nov 28, 2014"
AXIS BANK,mumbai,"Rate of interest is equal to the market trends according to the competitors while compare with the Axis bank home loan application of mine. In the mean time that I got the same offer with the IDBI bank as the home loan, so I go ahead with them.","Nov 28, 2014"
AXIS BANK,chennai,"I have dropped the plan because I have not finalized the property, so I have not the home loan with the Axis bank. Rate of interest was around 10.55% and am okay. Customer service is fine with the Axis bank and there are no issues with that.","Nov 28, 2014"
AXIS BANK,mumbai,Axis bank experience was good. The representative called on time with regards to the home loan process and he provided the good service. Rate of interest and processing fee are good as per the market rate. They gave all the details about the process.,"Nov 28, 2014"
AXIS BANK,bangalore,I was not interested to get lot of calls from the Axis bank for the home loan which I applied and I dint bothered about the interest rate and all also before I finalised the property they have made me the continuous follow up. Finally I have not taken the home loan with the Axis bank.,"Nov 28, 2014"
AXIS BANK,chennai,"I have applied for the home loan with the Axis bank but my requirement will comes by next year, so only I have not taken the home loan with the Axis bank. Nobody have contacted me for the housing loan which I applied, I dont have any comments with that.","Nov 28, 2014"
AXIS BANK,greater noida,Documentation is very high with Axis bank as they were asking too many document so i dropped the plan of taking home loan with them and move on with finance institute. The charges are similar with other bank. It would be great if they reduce the documentation.,"Nov 28, 2014"
AXIS BANK,mumbai,Overall experience with axis bank was very good as they immediate call when i applied for the home loan . They informed all the required information but i did not pay more attention because i was no in the requirement . In case of any one needs the loan will recommend axis bank because the service is fast and polite on the call. ,"Nov 28, 2014"
AXIS BANK,bangalore,I have hold the plan of taking the housing loan with the Axis bank. The rate of interest was around 9.6% and I can say its the very lowest rate of interest before one month of time. I would like to go ahead with the Axis bank for the home loan after one month of time.,"Nov 28, 2014"
AXIS BANK,vijayawada,There was little delay in the response from axis bank for the home loan application. Interest rate offered was 9.65% compared to other bank it was similar rate but the processing fee was high. Due to my lack of documentation only i was not able to avail the loan. ,"Nov 28, 2014"
AXIS BANK,new delhi,"I have applied for the home loan with the Axis bank and they said that they can provide the loan only up to 60 km of the city limit but my property is 200 kilometers far away from the city limit. Also Axis bank is available where I finalized the property. Finally I have not taken the home loan with the Axis bank, also I am an existing customer with them.","Nov 28, 2014"
AXIS BANK,ghaziabad,I received the mail from Axis the bank that within 48 hours the representation will come to collect the documents but no one came and after five days some one called till then i changed my plan and there interest rate is also high. My suggestion to bank is that they should response the customer on the given time ,"Nov 28, 2014"
AXIS BANK,new delhi,Due to my personal reasons I have not taken the home loan with the Axis bank and the rate of interest was okay with the Axis bank.. The services are okay with them and I would like to go ahead with the Axis bank for the Home loan in my future needs..,"Nov 28, 2014"
AXIS BANK,chennai,I made a pre closing in my home loan which I have taken from AXIS bank. My plan of taking 15 lakhs from them but the bank has released only 10 lakhs. Later I got two lakhs from them but before getting the complete loan I closed this loan. I choose this bank is only because of the customer services. ,"Nov 28, 2014"
AXIS BANK,chennai,"I have got the home loan with some other banks like its the kind of top up loan, so I have not taken the home loan with the Axis bank. Services are good with the Axis bank, which I experienced and the rate of interest as 9.75% and am happy with the Axis bank.","Nov 28, 2014"
AXIS BANK,new delhi,Amazing experience with Axis bank there was some email communication .They were guiding as how to make the payment in advance. They have given all the information about loan. I have finished off my loan in one go. People are very co operative and it is very easy to approach them.,"Nov 26, 2014"
AXIS BANK,new delhi,The service provided by Axis Bank was really good based on the Home loan application.The customer service provided was really good.They have applied a interest rate around 10.75% for this particular loan.They have applied high charges in the loan with Axis Bank. ,"Nov 26, 2014"
AXIS BANK,ranchi,The experience was very good because it was processed through the builder in the home loan with Axis Bank.I doní¢??t have any trouble with the service provided.After completing the Emi they are not ready to provide the top up loan even if I pay the Emi continuously on time for last 5years without any interruptions. ,"Nov 23, 2014"
AXIS BANK,pune,I got the home loan with the Axis bank with the rate of interest was around 10.25% which is floating. It will take around a month of time to implement the RBI current repo rate in the EMI. Services are good with them and the loan amount got disbursed within a month of time.,"Nov 23, 2014"
AXIS BANK,gandhidham,I taken the home loan axis bank. Customer service is very good if there is any changes in the rates of rbi the information is shared immediately and also reflected in out loan amount.Interest rate offered is 9.85%The processing fee and the pre payment charges are zero. ,"Nov 23, 2014"
AXIS BANK,bangalore,The application was rejected with Axis Bank regarding the home loan.They have responded on time for the application submitted.The interest rate was not decided in the stage and they have not required much documents in the loan which is a advantage. ,"Nov 20, 2014"
AXIS BANK,chandigarh,The process was very good based on the home loan.I didní¢??t have to visit the bank and the process done very fast within 7days for getting the home loan. The interest rate applied for the loan was around 9.65% for the home loan. The other banks rate are quite less.They have applied charges around 1500Rs ,"Nov 20, 2014"
AXIS BANK,chennai,Axis bank IS not flexible I had to approach the primary bank where I had to got the home loan. I am holding this loan for a period of 10 years. I had to visit the main office for everything. They are not informing me about the rate change . They were asking me to pay some additional charges if they provide a lower rate of interest.,"Nov 18, 2014"
AXIS BANK,pune,AXIS Bank housing loan process is really good. It would be great if they reduce the interest rate . Some banks are offering a lesser rate than Axis. Therefore Axis bank has to work on that aspect. My salary account is with Axis bank. I have got a very good relationship with them based on which they have offered this housing loan. The most interesting part is the response service time and customer support was good .,"Nov 17, 2014"
AXIS BANK,kolkata,Axis Bank service had some hiccups.They need to evaluate the situation so the procedure took some time.The customer service provided in the loan process was very good based on the home loan.The interest rate applied was around 10.25% for the home loan.The charges applied also good. ,"Nov 14, 2014"
AXIS BANK,chennai,"My home loan process went in a hassle free manner with Axis bank. They helped me in disbursing the loan amount at the earliest. There is only one loan center in Chennai and for any home loan queries, the applicant needs to visit the loan center. It would be great if they make an option of resolving the loan queries in the home branch of the customers.","Nov 13, 2014"
AXIS BANK,new delhi,I am very happy with Axis bank and for this particular transaction very much satisfied. Overall good experience with Axis bank as no account but still they processed well the car loan. If I compare the rate with nationalized bank it is bit high however satisfied with the offered rate.,"Nov 12, 2014"
AXIS BANK,chennai,"I thought to buy the already built house then I approached the Axis bank for that. They said that they will provide only 75% of the cost of the home, which am not okay with that. Also they said that they need to check with some background verification. Finally I have dropped the plan with them.","Nov 12, 2014"
AXIS BANK,new delhi,It was a good experience with Axis Bank based on the Home loan.They have collected the necessary documents and the approval was done on time.The interest rate applied for the home loan was around 10.5%.The charges applied was good and less than 1%.,"Nov 11, 2014"
AXIS BANK,lucknow,"It was a very good experience with Axis bank when I applied for personal loan with them. Customer service was really good, they came to collect the documents. So within a week my home loan got disbursed. Interest rate is around 9.95% it is on the higher side it could be reduced still. Otherwise I do not have any issues with Axis bank.","Nov 06, 2014"
AXIS BANK,thiruvananthapuram,I am working in a bank I found my Over all experience was good with Axis bank. Interest rate offered for me was around 9.8% for home loan and processing fee was okay and I had no problem with it. The executive who came to collect the documents was not that knowledgeable in terms of documents. So the bank should train their executive and they should be more transparent in terms of documents. The communication should be better between the bank and the customers. Once the documents were collected they processed it fast. ,"Nov 06, 2014"
AXIS BANK,bangalore,I had a very good experience with Axis Bank based on the home loan application.They are really prompt about processing this loan.They have completed the process within 15days of time.They require many documents to process this loan.The interest rate applied was around 10.25% which is a floating rate.,"Nov 04, 2014"
AXIS BANK,pune,My home loan is from Axis Bank. The services are good from them. They responded well. The process for the loan took around 21 days. They offered a rate of interest of 9.5% floating. The processing fee was of 8K. Overall a good experience.,"Nov 03, 2014"
AXIS BANK,kolkata,I availed the home loan with axis bank. They charged the interest rate of 8.75% in the starting stage and later they reached to 11% they did not change the interest rate so it went to other bank and transfer the loan. But the process took only 15 days . ,"Nov 02, 2014"
AXIS BANK,thane,They have two kinds of rates where one is fixed and floating for home loan. If the RBI increases the rate it will be conveyed instantly but Axis bank will not say the customer about the decrease. It was an easy process with the Axis bank in regards to home loan. I fought with them and later they decreased the rate of interest.,"Nov 02, 2014"
AXIS BANK,pune,I have taken my home loan from Axis Bank. The services are good. The response was very good from them. They offered a reasonable rate of interest when compared to other banks. The whole process for the loan took around five days. It was quite a hassle free process. ,"Nov 02, 2014"
AXIS BANK,ahmedabad,"From AXIS Bank I have taken my home loan with the rate of interest of 10.25%. They took 45 days to complete my processing. The documentation process went smoothly and there was no difficulties in getting this loan from them. Mr. Manoj, is the bank executive who assisted me very well. ","Nov 02, 2014"
AXIS BANK,bangalore,I have not taken the home loan with the Axis bank because of some personal reasons. By the way I can say that their services are good with them. The response is also prompt with them. In future if I need the loan means I would like to go ahead with them. The rate of interest is bit high with them.,"Oct 29, 2014"
AXIS BANK,bangalore,"I was in search of the property around Kerala and Bangalore before, but I dint finalized. The capital what they committed to me also not met up with my requirements. Axis bank services are very good even am an existing customer with them when I was in Delhi. Customer service is good with them.","Oct 29, 2014"
AXIS BANK,bangalore,"Currently I am not in Bangalore, so I have postponed the housing loan application with the Axis bank. Services are good with them and they have proposed me with the rate of interest as around 10% and am happy with that. I would like to go ahead with the Axis bank in future.","Oct 29, 2014"
AXIS BANK,gurgaon,No executive have not contacted me for the housing loan application with the Axis bank. I have no clue why the application got rejected and I guess that the reason would be that am a foreigner. I doní¢??t care about the interest rate and I would like to get the loan and am still looking for that.,"Oct 29, 2014"
AXIS BANK,nagpur,"On that time I dint finalized my property, So I dint took the home loan with the Axis bank. Spontaneously I got the response from them for my queries. They have contacted me twice for my home loan application. I can say that they are doing the good follow up.","Oct 28, 2014"
AXIS BANK,madurai,With the help of the agent i took the home loan from axis bank with the interest rate of 9.85%. After submitting all the documents within one week they send me the sanction letter But it took two months for the disbursement as it took some time from my side. ,"Oct 26, 2014"
AXIS BANK,mumbai,When ever I visit Axis bank for any loan they make me to wait for more than 30 minutes. I normally visit the branch for transfer of funds or if I have any concerns on the loan account. It would be great if they improvise on their customer service and one of my friend who in the housing loan team has advised me to take the loan from Axis bank.,"Oct 26, 2014"
AXIS BANK,coimbatore,"I got the housing loan with the Axis loan with 10.50% floating. The services are good with them and the documents got collected from them by doorstep service. They are private sector, so their response is really good with them. Every approach is good with them. Processing charges is nominal with them. Account opening charge is around 15000 Rupees with them, which is the drawback.","Oct 24, 2014"
AXIS BANK,hyderabad,Axis Bank is one who offered lesser rate of interest. I have taken the Home loan from them. Actually I am not happy with them in terms of processing. Lots of repeated documents from the employee who did every thing and still some documents are pending. ,"Oct 24, 2014"
AXIS BANK,chennai,"My property builder has recommended me to avail my Home Loan from AXIS BANK. So I have taken it easily, 10.25% is the rate of interest and 10k as the processing fees which is quite high. Axis bank has collected very minimum documents when compared with other nationalized banks.","Oct 23, 2014"
AXIS BANK,bharuch,"Axis bank is not doing very well, I had a very bad experience when I applied for home loan with them . It is because I found their that the process is lengthy, the staffs are not well qualified regarding the documents. So these are the areas they have to improve should be little more clear in their procedures. Initially Axis charged me around 9.95%, floating one. As of now it is reduced. No issues with the charges I am fine with that. ","Oct 20, 2014"
AXIS BANK,solapur,Axis bank is good in the papers and I will say I am happy with them. They approved the home loan in the short time as it was very instant. For the home loan the interest rate was 1010% when I have started and now it is 9.65%. Axis bank is prompt in sending sms about rate fluctuations. Interest rate is pretty similar to others so I am fine with that.,"Oct 19, 2014"
AXIS BANK,nagpur,I took a home loan from axis bank with the interest rate of 9.5% and the processing fee was very less like fixed fee of Rs.2600. Documentation process was easy . Five days is for the financial purpose and 10 days for the legal verification which depends upon property documents. Partial payment and pre closure options are given without any charges. ,"Oct 17, 2014"
AXIS BANK,secunderabad,"Over all Home loan process was good. Axis bank is the only bank, who given maximum loan amount. Interest rate offered by them was 9.85%. It would be great if they provide direct customer care contact number. I did not get the proper details from the local executive. ","Oct 13, 2014"
AXIS BANK,mumbai,Loan transactions was very professional in AXIS Bank. Based on my property prospective they helped me and specially Mr. Rahul sigh guided me well. Interest rate was 9.95% for my Home loan but it was quiet high. Processing charges an all reasonable.,"Oct 13, 2014"
AXIS BANK,mumbai,Axis bank offered me a Home loan. Interest rate was 9.85% comparatively higher side. They should provide clear information to the customer based on terms and conditions. Processing charges charged by them was around 11k and it would be great if they reduce the charges. ,"Oct 13, 2014"
AXIS BANK,chennai,Initially their approach was good for my Home loan. I received the welcome kit from them but I did not get proper commitment form them. It would be great if they provide registration copy and customer copy. Processing charges are higher and mod charges also higher in AXIS bank. ,"Oct 13, 2014"
AXIS BANK,kolkata,"I got the Home loan form AXIS Bank. I am unhappy with them, their loan process was very slow. Local executive are not professional. Response was better. I did not received the welcome kit also. Interest rate and processing charges an all fine. ","Oct 13, 2014"
AXIS BANK,coimbatore,"Axis bank is customer oriented bank. Home loan process was quiet fast. They disbursed within 10 days. I felt rate of interest was high its 9.85%. It would be great if they reduce the insurance charges. I am unhappy with tenure part, I was looking for 26yrs but they offered 30yrs. ","Oct 13, 2014"
AXIS BANK,bhubaneshwar,Home loan process was very smooth. Axis bank entire process was good including documentary part. Durga prasad was helped me a lot. Unhappy with insurance part. Even I denied that but they did not consider that. It would be great if they follow the customer till the end. ,"Oct 13, 2014"
AXIS BANK,chennai,"Home loan process was very fast in AXIS Bank. They disbursed my loan amount within10 to 15 days. Only thing is, we need proper Intimation. I am not getting any alerts form them based on deductions. Interest offered by them was 9.85flaoting, quiet high but its fine.","Oct 13, 2014"
AXIS BANK,hyderabad,"Axis bank is ready to provide me the pre approved loan for my home loan application. First of all I need to pay the processing fees for the approval, which I am not interested to pay. Secondly the property is not yet finalized, due to this I am not able to take the loan within the specific time with them.","Oct 12, 2014"
AXIS BANK,mohali,I am not satisfied with the service provided by Axis Bank in the initial stage of processing this home loan.I felt the executives lack about the process knowledge in helping customer.They have taken around two months to process this Home loan with Axis Bank. ,"Oct 12, 2014"
AXIS BANK,chennai,The response was prompt from the Axis bank executives for my home loan applications. I did not finalize the property at that time. Due to this I am not able to take the loan with them. The interest rate is high for the home loan applications. I would suggest them to lower the interest rate for the home loan applications.,"Oct 12, 2014"
AXIS BANK,pune,"Initially I was planning to buy a flat and looked for a home loan with Axis Bank. Interest rate is very low with them for home loans when compared to other banks. Since my parents suggested me to reconstruct our own house, I took a mortgage loan against my property with some other financial organization.","Oct 12, 2014"
AXIS BANK,bangalore,"The response was good from the Axis bank team for my home loan application. Since I didní¢??t finalise the property I am not able to take the home loan with them. Apart from that, everything is good from their end and I am not able to experience their services.","Oct 12, 2014"
AXIS BANK,mumbai,"Axis bank is the best, who providing huge loan amount. Interest part was quiet okay. 9.8% interest for my Home loan and after 2 year it would be floating. Quiet easier to get the loan through agency. It would be great if they reduce the processing charges. ","Oct 07, 2014"
AXIS BANK,mumbai,"I am having the housing loan with the Axis Bank. Its the fastest one to get the loan while compare with the nationalized one and the rate of interest is low with them. I got the loan with them in 4 to 5 days of time. I cleared all the formalities with the documentation aspects, so everything went in the smooth manner.","Oct 07, 2014"
AXIS BANK,chennai,I have not taken the home loan with the Axis bank due to some of the personal reasons. Customer service is good with them and they followed me regularly. Finally the application got closed with them up to my request. I am happy with the rate of interet but its higher while compare with the LIC &amp; DHFL.,"Oct 06, 2014"
AXIS BANK,chennai,"I purchased a land and I want to build the house, so I would like to get the housing loan. Axis bank have contacted me and I said I have some problem with the credit score on past and I don't have it right now. The rate of interest is around 11% and am happy with them.","Oct 06, 2014"
AXIS BANK,noida,Axis bank was unable to fund the housing loan for the property which I have selected. Therefore I had taken a loan from PNB . Customer service offered by Axis bank was good . I did not discuss with Axis bank any further about interest rate and processing fee.,"Oct 01, 2014"
AXIS BANK,chennai,I have taken this housing loan with ICICI bank that was the major reason for not availing the housing loan with Axis bank. ICICI is much better than AXIS Bank in all the ways and means . It would be great if Axis bank works on the customer service and it would be great if the reduce the processing fee as well.,"Oct 01, 2014"
AXIS BANK,mumbai,I had applied for the Axis bank housing loan through the direct bank. I have got the sanction letter and they have given the cheque as well . However the entire process has not been completed yet. I got a call from the executive. today morning and he confirmed that he will finish off the process in a couple of days.,"Oct 01, 2014"
AXIS BANK,pune,"Actually, I had received call from Axis bank for the housing loan. However, I did not avail this loan because I had taken a housing loan from some other Bank. There was a lot of hidden cost involved that is why I had not taken this loan . I prefer SBI as its a nationalized bank and with private banks there was a lot of hidden cost involved.","Oct 01, 2014"
AXIS BANK,goa,"The major reason for not availing the housing loan with Axis bank is because ,I had taken a housing loan from some other Bank. Processing charged by Axis bank was 0.5%, where as the other bank was charging around 0.25%. Interest rate offered by Axis bank was inline with other banks. Customer service offered by axis was good. ","Oct 01, 2014"
AXIS BANK,coimbatore,First of all I have not taken this Axis bank housing loan. I have dropped the idea of taking this housing loan due to financial crisis I have planned to approach the same bank again just in case if I am in need of housing loan. I am unable to comment about them as I have not taken this loan.,"Oct 01, 2014"
AXIS BANK,delhi,Axis Bank processed my Home Loan application within 3-4 days and the sanction letter was handed to me within another 1 and half day. I added my spouse as co applicant but the rate of interest applicable was 9.95%. I am happy that the processing of the loan took place so fast.,"Oct 01, 2014"
AXIS BANK,chennai,"Actually, I had taken a personal loan from DHFL, that is why I have not taken this personal loan with AXIS Bank. Interest rate offered by Axis bank was higher than DHFL. Processing fee charged by Axis bank was quite nominal. Adding up to the that they were asking for the bank statement and other documents one after the other .","Oct 01, 2014"
AXIS BANK,madurai,I did not have any idea about the Axis bank housing loan. Customer service offered by them was good. Interest rate and processing fee was okay . Everything was fine and I have planned to take the loan after some time and overall its fine. ,"Oct 01, 2014"
AXIS BANK,mumbai,Axis bank housing loan process is fine. Customer service offered by them was good. Interest rate offered by them was good. I was looking for a housing loan and I have not taken that. I am very much happy with the processing fee charged by them as it was very minimal. I would certainly apply for this loan online if I am in need of that.,"Oct 01, 2014"
AXIS BANK,chennai,Axis bank provided the loan amount then the excepted amount were as other bank are not ready to provide the required amount.They charged the less processing fee for the home loan. Interest rate charged offered was 10.5% . Pre closure can be done after 6 month with 3% on the loan amount and partial payment is available.,"Sep 30, 2014"
AXIS BANK,hyderabad,"The property which I finalised is not having proper approval documents which are required for the loan procedure. Due to this I am not able to take the home loan with Axis Bank. Apart from this, the service is very good with Axis bank for home loan.","Sep 28, 2014"
AXIS BANK,bangalore,"Processing fees is nominal for home loan with Axis bank. After collecting all documents, they reduced the loan amount to be disbursed. Adding to that, they disbursed the loan amount at the promised time. I would suggest them to make the payment options flexible. Further on , it would be better if they make an arrangement of downloading the statements online.","Sep 28, 2014"
AXIS BANK,chennai,Always the Axis bank is better in customer service. Home loan rate of interest comparing to others is high in Axis. Interest rate is one of the reasons to not avail the home loan. I suggest people to go with Axis bank if they have an idea to pre close the loan because they doní¢??t charge anything for the same. ,"Sep 28, 2014"
AXIS BANK,mumbai,Directly I have taken the home loan from the builder as he had tie up different bank but my experience with Axis bank was appreciable. Axis bank was ready to give some offers and their rate of interest was good. Response as proper and appreciating prompt revert on my application.,"Sep 28, 2014"
AXIS BANK,pune,"It was just an online inquiry about home loan to know which bank was giving base rate. I got a call from axis bank, it was really a good response. I informed them that it was not an urgent requirement and said will get back. It was a short conversation but it was good. ","Sep 28, 2014"
