name,club,pos,status,news,chance_of_playing_this_round,chance_of_playing_next_round,now_cost,total_points,event_points,minutes,points_per_game,points_per_game_last3,form,value_form,value_season,dreamteam_count,selected_by_percent,transfers_out,transfers_in,transfers_out_event,transfers_in_event,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,ep_this,ep_next
Scott Dann,Crystal Palace,Defender,active,,100,100,5.2,39,0,1350,2.6,1.7,1.3,0.3,7.5,1,3.1,245298,89753,7225,1156,-3,0,3,0,2,1,1,28,0,0,0,2,0,0,1,219,343,47.4,282,67.5,480,1.8,1.3
Joel Ward,Crystal Palace,Defender,active,,100,100,4.8,36,1,1797,1.8,1.3,1.3,0.3,7.5,0,0.7,38422,22537,1931,1006,-2,0,2,0,0,1,1,37,0,0,0,2,0,0,3,278,330.8,138.4,119,58.9,333,1.8,1.3
Martin Kelly,Crystal Palace,Defender,active,,100,100,4.4,25,3,1298,1.3,2,2,0.5,5.7,0,0.7,32104,42593,2513,2628,-1,0,1,0,0,2,0,30,0,0,0,3,0,0,0,185,253.8,123.8,6,38.5,96,2.5,2
Damien Delaney,Crystal Palace,Defender,active,,100,100,4.8,32,1,1386,2,1,0.8,0.2,6.7,0,0.6,31981,10090,619,222,-2,0,2,0,0,1,2,23,0,0,0,5,0,0,1,217,324,53.6,30,40.6,366,1.3,0.8
Pape SouarÃƒÂ©,Crystal Palace,Defender,major injury,Thigh injury - Unknown return date,0,0,4.2,6,0,270,2,2,0,0,1.4,0,0.3,52701,20414,280,48,-3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,37,53.6,33.5,9,9.7,354,0,0
Yannick Bolasie,Everton,Midfielder,major injury,Knee injury - Unknown return date,0,0,5.7,45,0,1048,3.2,2,0,0,7.9,0,2,411621,292239,3525,86,-3,0,3,0,1,4,3,14,0,0,0,3,0,0,3,172,238,326.7,252,81.8,469,0,0
Jason Puncheon,Crystal Palace,Midfielder,minor injury,Knock - 75% chance of playing,75,75,5.2,45,2,1487,2.5,1.7,1.8,0.3,8.7,0,0.7,90318,69532,2568,1067,-3,0,3,0,0,4,1,27,0,0,0,6,0,0,4,263,281.8,594.2,248,112.4,381,2.3,1.4
Wilfried Zaha,Crystal Palace,Midfielder,short loan,On international duty at the Africa Cup of Nations,0,0,5.7,88,9,1645,4.6,4,3.5,0.6,15.2,2,7.3,494757,684224,223566,12882,2,-1,-2,1,4,8,1,34,0,0,0,4,0,0,10,301,475.4,360.4,497,133.4,353,4,0
Mile Jedinak,Crystal Palace,Midfielder,long loan,Joined Aston Villa on 17/8,0,0,4.5,2,0,90,2,2,0,0,0.4,0,0.2,25461,1220,105,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,11.8,31.2,0,4.3,118,0,0
Joe Ledley,Crystal Palace,Midfielder,active,,100,100,4.4,35,2,982,2.5,1.7,1,0.2,8,0,0.5,33396,24919,1147,1211,-1,0,1,0,1,1,2,20,0,0,0,0,0,0,1,175,137,95.6,44,27.6,121,0.4,1
James McArthur,Crystal Palace,Midfielder,minor injury,Calf injury - 75% chance of playing,75,75,4.8,66,0,1249,4.4,3.7,0.5,0.1,13.5,1,1.5,141565,189104,17019,2199,-2,-1,2,1,5,2,1,24,0,0,0,4,0,0,8,256,327.4,145.5,225,69.2,282,0.3,0.4
Jordon Mutch,Crystal Palace,Midfielder,active,,100,100,4.2,4,1,53,1,1,0.8,0.2,1,0,0.4,10028,17156,2254,5989,-3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,17,15.6,14.1,0,3.1,54,1.3,0.8
Jonathan Williams,Crystal Palace,Midfielder,long loan,Joined Ipswich in season-long loan deal,0,0,4.5,0,0,0,0,0,0,0,0,0,0,1095,181,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chung-yong Lee,Crystal Palace,Midfielder,active,,100,100,4.3,21,0,386,1.8,1.3,0.3,0.1,4.9,0,0.2,15188,14003,385,302,-2,0,2,0,0,1,2,7,0,0,0,0,0,0,0,90,63,103.2,40,20.7,56,0.8,0.3
Yohan Cabaye,Crystal Palace,Midfielder,active,,100,100,5.6,36,2,1160,2.1,4,3.5,0.6,6.4,1,1.2,124727,22810,2487,3304,-4,0,4,0,2,0,0,31,0,0,1,5,0,0,4,208,236.8,309.1,324,86.8,397,4,3.5
Bakary Sako,Crystal Palace,Midfielder,short loan,On international duty at the Africa Cup of Nations,0,0,5.3,4,1,63,1,1,0.3,0.1,0.8,0,0,1006,485,33,32,-2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,14,10,5.9,16,3.3,220,0,0
Andros Townsend,Crystal Palace,Midfielder,active,,100,100,5.9,52,1,1303,2.7,3.7,3,0.5,8.8,1,2.1,243172,89886,4146,2983,-6,0,6,0,1,3,2,24,0,0,0,3,0,0,7,230,243.2,399.4,264,90.4,315,3.5,3
Fraizer Campbell,Crystal Palace,Forward,active,,100,100,4.4,12,1,120,1.5,1,1,0.2,2.7,0,1.2,52634,67522,5061,5872,-1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,47,37,21.3,66,12.3,12,1.5,1
Connor Wickham,Crystal Palace,Forward,major injury,Knee injury - Unknown return date,0,0,5.5,18,0,412,2.3,3.3,0,0,3.3,0,0.3,50468,14245,322,38,-5,0,5,0,2,0,0,6,0,0,0,1,0,0,0,59,87.6,36.2,132,25,225,0,0
Joel Robles,Everton,Goalkeeper,active,,100,100,4.7,28,7,387,5.6,6.7,5.3,1.1,6,1,0.2,5811,8262,1043,2011,-3,0,3,0,0,1,3,3,0,0,0,0,0,11,3,108,105.4,10,0,11.6,110,5.3,4.3
Maarten Stekelenburg,Everton,Goalkeeper,active,,100,100,4.8,57,0,1413,3.6,3.3,1.5,0.3,11.9,1,2.4,185333,198850,11715,472,-2,0,2,0,0,0,3,20,1,2,0,2,0,35,3,255,301.4,0,0,30.2,151,0,0.5
Leighton Baines,Everton,Defender,active,,100,100,5.5,72,15,1244,5.1,9.3,7.5,1.4,13.3,1,9.1,423837,446129,14459,106683,0,1,0,-1,2,3,4,13,0,0,1,2,0,0,13,297,301.4,265.9,106,67.5,212,7.5,6.5
Seamus Coleman,Everton,Defender,active,,100,100,5.5,65,6,1506,3.8,4.3,3.5,0.6,11.8,1,4.6,205190,251637,13227,5672,0,0,0,0,3,0,4,21,0,0,0,3,0,0,5,299,368.8,160.2,167,69.7,327,3.5,2.5
Phil Jagielka,Everton,Defender,active,,100,100,4.8,33,0,1260,2.2,0.3,0,0,6.9,0,3.1,240654,261399,7865,470,-2,0,2,0,0,1,2,18,0,0,0,3,1,0,3,231,326.2,40.6,78,44.4,221,0,-1
John Stones,Man City,Defender,active,,100,100,4.7,28,1,1183,1.8,1.3,1,0.2,6,0,16,1047981,401690,29439,5595,-3,0,3,0,0,0,1,17,0,0,0,1,0,0,1,238,234.2,44.9,39,32,336,1.5,1
Brendan Galloway,West Brom,Defender,active,,100,100,4.1,9,0,247,3,3,0,0,2.2,0,0.2,16598,14620,608,478,-4,0,4,0,0,0,1,3,0,0,0,0,0,0,0,44,33,18.4,25,7.5,126,1,-1
Tyias Browning,Everton,Defender,active,,100,100,3.9,0,0,0,0,0,0,0,0,0,3,59461,119851,7050,13302,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,-1
Matthew Pennington,Everton,Defender,major injury,Lack of match fitness - Unknown return date,0,0,3.9,0,0,0,0,0,0,0,0,0,0.5,14002,19098,1519,1334,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
Ramiro Funes Mori,Everton,Defender,active,,100,100,4.6,33,6,833,2.4,4.3,3.8,0.8,7.2,0,1.3,81743,25496,1750,2880,-4,0,4,0,0,0,3,12,0,0,0,0,0,0,1,189,195.8,38.9,60,29.5,304,3.8,2.8
Kevin Mirallas,Everton,Midfielder,active,,100,100,6,56,3,1128,2.9,5.7,4.3,0.7,9.3,0,1.9,217306,226231,5817,3795,-5,0,5,0,2,3,5,14,0,0,0,1,0,0,2,195,196.8,354.6,411,95.6,245,4.3,3.3
Ross Barkley,Everton,Midfielder,active,,100,100,7,64,3,1386,3.6,5,4,0.6,9.1,0,5.9,643696,488141,7600,5207,-5,0,5,0,3,3,3,18,0,0,0,3,0,0,7,223,296,609.2,507,141.3,654,4,3
Tom Cleverley,Everton,Midfielder,active,,100,100,5.1,13,0,407,1.3,1.7,0.3,0.1,2.5,0,0.1,8097,1478,128,85,-4,-1,4,1,0,0,0,9,0,0,0,1,0,0,0,60,49.2,60.5,29,13.8,241,0.3,-0.7
Tom Cleverley,Watford,Midfielder,active,,100,100,5.1,13,0,407,1.3,1.7,0.3,0.1,2.5,0,0.1,8130,1690,161,297,-4,-1,4,1,0,0,0,9,0,0,0,1,0,0,0,60,49.2,60.5,29,13.8,241,-0.2,0.3
James McCarthy,Everton,Midfielder,active,,100,100,4.8,9,0,456,1.3,1.3,0.3,0.1,1.9,0,0.2,11486,2286,142,42,-2,0,2,0,0,0,0,8,0,0,0,2,0,0,0,46,46.2,43.3,21,11.2,365,0,-0.7
Gareth Barry,Everton,Midfielder,active,,100,100,4.5,47,1,1376,2.6,2,1.8,0.4,10.4,0,4.3,319186,358412,12320,4430,0,0,0,0,2,1,4,21,0,0,0,6,0,0,3,230,315.6,206.6,194,71.3,418,1.8,0.8
Darron Gibson,Everton,Midfielder,active,,100,100,4.3,0,0,0,0,0,0,0,0,0,0.1,5402,2721,179,192,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,-1
Muhamed Besic,Everton,Midfielder,major injury,Knee injury - Expected back 04 Feb,0,0,4.3,0,0,0,0,0,0,0,0,0,0,1147,420,29,22,-2,-1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0
Bryan Oviedo,Everton,Midfielder,major injury,Knock - Expected back 21 Jan,0,0,4.3,9,0,475,1.5,1.7,0,0,2.1,0,0.1,10076,8468,492,35,-2,0,2,0,0,0,1,7,0,0,0,3,0,0,0,65,77,42.8,0,12,130,0,0
Gerard Deulofeu,Everton,Midfielder,active,,100,100,5.9,13,0,460,1.2,1,0,0,2.2,0,0.9,129882,18880,584,81,-6,0,6,0,0,0,0,6,0,0,0,1,0,0,0,53,54.6,150.8,115,32,283,0,-1
Aaron Lennon,Everton,Midfielder,active,,100,100,5.5,21,3,491,2.1,2.7,2,0.4,3.8,0,0.2,13016,3429,353,284,-5,0,5,0,0,1,2,5,0,0,0,0,0,0,0,99,74.6,91.6,52,21.6,278,2,1
Romelu Lukaku,Everton,Forward,active,,100,100,9.5,110,11,1646,5.8,7,5.8,0.6,11.6,2,24,1296237,1890649,79390,47529,5,0,-5,0,11,4,5,21,0,0,0,2,0,0,19,398,572.2,394.9,787,175.4,754,5.8,4.8
Arouna KonÃƒÂ©,Everton,Forward,active,,100,100,5.1,3,0,46,1,1,0,0,0.6,0,0.8,66865,14056,582,234,-4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,6.8,17.2,22,4.6,289,0,-1
Oumar Niasse,Everton,Forward,active,,100,100,5.6,0,0,0,0,0,0,0,0,0,0.1,2535,1338,90,234,-4,-1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,-1
Allan McGregor,Hull,Goalkeeper,minor injury,Lack of match fitness - 75% chance of playing,75,75,4.4,0,0,0,0,0,0,0,0,0,0,895,359,29,17,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.4
Eldin Jakupovic,Hull,Goalkeeper,active,,100,100,3.9,23,0,450,4.6,4.3,0,0,5.9,1,19.2,389695,567326,22417,42878,-1,0,1,0,0,0,1,7,0,1,0,0,0,21,0,114,162.6,0,0,16.3,0,-1,-0.5
Brian Lenihan,Hull,Defender,minor injury,Lack of match fitness - 75% chance of playing,75,75,3.9,0,0,0,0,0,0,0,0,0,1.5,63357,66172,4005,2986,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.4
Curtis Davies,Hull,Defender,active,,100,100,4.9,34,1,1793,1.7,1.3,1.5,0.3,6.9,1,1.7,96097,98539,3305,155,-1,0,1,0,0,2,1,44,1,0,0,2,0,0,3,323,590.2,27.6,114,73.1,0,0.5,1
Michael Dawson,Hull,Defender,active,,100,100,4.4,35,1,1080,2.9,3,2.5,0.6,8,2,0.9,22481,51685,4456,3033,-1,0,1,0,3,0,0,24,1,0,0,2,0,0,4,196,425.2,24.4,200,65,0,1.5,2
Moses Odubajo,Hull,Defender,major injury,Knee injury - Expected back 21 Jan,0,0,4.4,0,0,0,0,0,0,0,0,0,0,276,186,15,10,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Robertson,Hull,Defender,active,,100,100,4.3,22,0,1233,1.5,1.3,1,0.2,5.1,0,0.9,68232,53716,1720,1441,-2,0,2,0,0,0,1,30,0,0,0,2,0,0,1,192,207.4,123.4,43,37.4,0,0,0.5
Harry Maguire,Hull,Defender,active,,100,100,4.4,18,1,918,1.4,1.7,1.5,0.3,4.1,0,0,1689,2139,150,266,-1,0,1,0,0,3,0,29,0,0,0,3,0,0,0,187,253.2,48.9,163,46.5,0,0.5,1
Alex Bruce,Hull,Defender,major injury,Achilles injury - Unknown return date,0,0,4,0,0,0,0,0,0,0,0,0,0.1,5762,4279,334,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robert Snodgrass,Hull,Midfielder,active,,100,100,5.8,94,10,1635,4.9,7.3,6,1,16.5,2,10.8,457493,809868,20462,192606,3,1,-3,-1,7,2,2,41,0,0,0,2,0,0,16,344,411,688.7,380,147.1,0,5,5.5
Sam Clucas,Hull,Midfielder,active,,100,100,4.7,38,2,1689,1.9,1.7,1.8,0.4,8.1,0,0.1,3638,2030,138,146,-3,0,3,0,0,1,1,41,0,0,0,5,0,0,0,278,226.8,189.4,136,55,0,0.8,1.3
Jake Livermore,Hull,Midfielder,active,,100,100,4.8,45,2,1664,2.3,2,2,0.4,9.4,0,0.1,6694,5934,667,689,-2,0,2,0,1,1,2,41,0,0,0,3,1,0,2,285,387.8,165.6,210,76.3,0,1,1.5
Ahmed Elmohamady,Hull,Midfielder,short loan,On international duty at the Africa Cup of Nations,0,0,4.7,37,6,1648,1.9,3,2.8,0.6,7.9,0,0.2,20957,7227,546,173,-3,0,3,0,0,1,1,42,0,0,0,2,1,0,1,279,306.8,249.8,72,62.9,0,1.8,0
Mohamed DiamÃƒÂ©,Hull,Midfielder,long loan,Joined Newcastle United on 3/8,0,0,5.5,0,0,0,0,0,0,0,0,0,0,706,135,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tom Huddlestone,Hull,Midfielder,active,,100,100,4.6,30,2,1044,1.8,2,2,0.4,6.5,0,0.2,10144,4974,269,253,-4,0,4,0,0,1,2,23,0,0,0,2,0,0,0,172,138.8,180.8,53,37.3,0,1,1.5
David Meyler,Hull,Midfielder,active,,100,100,4.4,26,0,758,1.7,1,0.3,0.1,5.9,0,0.2,15777,14754,596,154,-1,0,1,0,1,0,1,19,0,0,0,1,0,0,0,146,135,114.7,57,30.8,0,-0.7,-0.2
Shaun Maloney,Hull,Midfielder,active,,100,100,4.3,15,0,151,3,1,0,0,3.5,1,0.7,84192,88730,1302,248,-2,0,2,0,1,1,0,5,0,0,0,0,0,0,2,55,73.6,38.8,48,16,0,-1,-0.5
Abel HernÃƒÂ¡ndez,Hull,Forward,active,,100,100,5.9,24,0,671,2.4,1.3,0,0,4.1,0,0.8,129447,108687,737,457,-1,0,1,0,1,1,2,11,0,0,0,0,0,0,0,47,61.6,92.8,221,37.4,0,0,-0.5
Adama Diomande,Hull,Forward,active,,100,100,4.5,36,2,1030,2.1,1.7,1.5,0.3,8,0,5.4,391618,484028,19530,24617,0,0,0,0,2,0,2,23,0,0,0,1,0,0,2,105,129.8,167.9,239,53.2,0,0.5,1
Kasper Schmeichel,Leicester,Goalkeeper,active,,100,100,4.9,47,6,1046,3.9,5,4.3,0.9,9.6,0,5.7,373071,77187,3450,2847,-1,0,1,0,0,0,4,15,0,0,0,1,0,47,5,247,298.4,0,0,30,475,4.3,2.8
Ron-Robert Zieler,Leicester,Goalkeeper,active,,100,100,4.4,17,0,754,1.9,1.7,0,0,3.9,0,0.3,14210,13047,666,86,-1,0,1,0,0,0,1,16,0,0,0,0,0,18,0,119,136,0,2,13.9,0,0,-1.5
Wes Morgan,Leicester,Defender,active,,100,100,4.8,54,6,1800,2.7,4,3.3,0.7,11.3,0,14.3,687742,281635,20864,7460,-2,0,2,0,1,1,5,31,0,0,0,2,0,0,0,288,350,36.2,186,57.3,549,3.3,1.8
Christian Fuchs,Leicester,Defender,active,,100,100,5.3,52,6,1618,2.7,3.7,2.8,0.5,9.8,1,5.1,369507,126040,6330,636,-2,0,2,0,1,2,4,29,0,0,0,5,0,0,4,358,453.2,329.2,79,86.4,482,2.8,1.3
Jeffrey Schlupp,Leicester,Defender,active,,100,100,4.8,4,0,141,1,1,0,0,0.8,0,0.2,14794,2119,204,729,-2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,23,23.4,29.2,16,6.9,236,0,-1.5
Marcin Wasilewski,Leicester,Defender,active,,100,100,3.9,1,0,90,1,1,0.3,0.1,0.3,0,1.2,33040,33036,2662,12963,-1,-1,1,1,0,0,0,2,0,0,0,0,0,0,0,10,10.8,0.3,0,1.1,35,0.3,-1.2
Ritchie de Laet,Leicester,Defender,long loan,Signed for Aston Villa on 23/8,0,0,4.4,0,0,0,0,0,0,0,0,0,0.1,5811,243,43,4,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
Danny Simpson,Leicester,Defender,active,,100,100,4.9,40,6,1555,2.2,3.7,2.8,0.6,8.2,0,1.2,76197,19789,1438,397,-1,0,1,0,0,1,5,25,0,0,0,8,0,0,1,259,263.6,101,42,40.7,390,2.8,1.3
Robert Huth,Leicester,Defender,active,,100,100,4.9,40,6,1607,2.2,3.7,2.8,0.6,8.2,0,1.2,61700,46228,1489,768,-1,0,1,0,0,1,5,27,1,0,0,6,0,0,0,249,323,46,248,61.6,453,2.8,1.3
Yohan Benalouane,Leicester,Defender,long loan,Omitted from 25 man squad,0,0,4,0,0,0,0,0,0,0,0,0,0.2,7868,1395,132,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
Luis HernÃƒÂ¡ndez,Leicester,Defender,active,,100,100,4.2,3,0,327,0.8,0.7,0,0,0.7,0,0.4,18691,5756,371,115,-3,0,3,0,0,0,0,8,0,0,0,1,0,0,0,50,57.6,62,0,12,0,0,-1.5
Riyad Mahrez,Leicester,Midfielder,short loan,On international duty at the Africa Cup of Nations,0,0,9,65,3,1508,3.3,2.3,2.3,0.3,7.2,0,8.6,845196,122332,20217,194,-5,0,5,0,3,3,5,26,0,0,1,3,0,0,4,237,293.8,395.2,489,118,994,2.3,0
Marc Albrighton,Leicester,Midfielder,active,,100,100,5,39,1,1193,2.3,3.3,2.8,0.6,7.8,0,0.8,60219,14509,1467,977,-5,0,5,0,0,1,5,21,0,0,0,3,0,0,2,208,197.4,399.5,81,67.7,519,2.8,1.3
Andy King,Leicester,Midfielder,active,,100,100,4.8,31,3,1048,2.1,2,1.5,0.3,6.5,0,0.3,15093,8749,888,587,-2,0,2,0,1,0,1,17,0,0,0,2,0,0,1,160,178.2,107.4,148,43.4,174,1.5,0
Daniel Drinkwater,Leicester,Midfielder,active,,100,100,5.3,34,0,1203,2.4,1.3,0.8,0.2,6.4,0,3.9,309765,69193,2471,360,-2,0,2,0,0,1,4,22,0,0,0,2,0,0,2,207,210.4,147.7,155,51.2,592,0.8,-0.7
GÃƒÂ¶khan Inler,Leicester,Midfielder,long loan,Transferred to BeÃ…Å¸iktaÃ…Å¸,0,0,4.4,0,0,0,0,0,0,0,0,0,0.1,9655,3753,71,14,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
Demarai Gray,Leicester,Midfielder,active,,100,100,4.8,31,1,415,2.2,2,2.5,0.5,6.5,0,0.6,46286,31624,1202,1224,-2,0,2,0,1,3,1,7,0,0,0,1,0,0,0,114,117.2,99.1,68,28.4,57,2.5,1
Daniel Amartey,Leicester,Midfielder,short loan,On international duty at the Africa Cup of Nations,0,0,4.5,44,3,1377,2.6,2.3,4.3,1,9.8,1,0.4,17199,26349,6000,1323,0,0,0,0,1,1,4,25,0,0,0,3,0,0,3,207,196.4,165.8,88,45.2,23,4.3,0
Nampalys Mendy,Leicester,Midfielder,active,,100,100,4.4,3,3,134,1.5,1.5,0.8,0.2,0.7,0,0.3,29793,3100,240,314,-1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,11,11,2.1,0,1.2,0,0.8,-0.7
Jamie Vardy,Leicester,Forward,active,,100,100,9.6,60,0,1249,3.5,5.7,-0.5,-0.1,6.3,1,7.7,895699,234955,5550,1897,-4,0,4,0,5,3,3,27,0,0,0,2,1,0,6,219,241.6,185.6,405,82.3,945,0,-2
Leonardo Ulloa,Leicester,Forward,minor injury,Thigh injury - 25% chance of playing,25,25,5.5,18,2,251,1.5,1.3,2.5,0.5,3.3,0,0.2,12936,6838,823,257,-5,0,5,0,1,0,1,3,0,0,0,0,0,0,1,43,54.2,40,175,26.5,226,2.5,0.3
Shinji Okazaki,Leicester,Forward,active,,100,100,5.7,32,2,802,2,1.3,1,0.2,5.6,0,1.5,119697,78767,4569,1479,-3,0,3,0,2,0,3,11,0,0,0,1,0,0,2,111,94.8,105.1,242,43.3,320,1,-0.5
Ahmed Musa,Leicester,Forward,active,,100,100,6.9,31,1,536,2.2,1,0.5,0.1,4.5,0,3.2,407252,76052,2088,761,-6,0,6,0,2,0,1,11,0,0,0,1,0,0,5,97,107.6,110.5,177,38.7,0,0.5,-1
Simon Mignolet,Liverpool,Goalkeeper,active,,100,100,4.7,40,2,900,4,3.7,4.3,0.9,8.5,0,2.4,113100,97205,4658,7940,-3,0,3,0,0,0,3,11,0,1,0,0,0,20,2,184,183.8,0,0,18.2,340,5.8,4.3
Loris Karius,Liverpool,Goalkeeper,active,,100,100,4.5,32,0,900,3.2,2.7,0,0,7.1,0,0.9,69113,77368,3466,627,-5,-1,5,1,0,0,3,12,0,0,0,0,0,20,0,153,149.4,0,0,15,0,1.5,0
Mamadou Sakho,Liverpool,Defender,active,,100,100,4.7,0,0,0,0,0,0,0,0,0,0.1,3999,1513,159,94,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,1.5,0
Dejan Lovren,Liverpool,Defender,active,,100,100,5,65,4,1485,3.8,4.7,4.8,1,13,0,6.9,226046,374346,21373,23330,0,0,0,0,2,1,6,20,0,0,0,4,0,0,4,354,477.8,68.6,160,70.7,248,6.3,4.8
Alberto Moreno,Liverpool,Defender,active,,100,100,4.4,10,1,257,1.4,2.3,0.5,0.1,2.3,0,1.6,144181,16086,1084,375,-6,-1,6,1,0,1,0,6,0,0,0,1,0,0,1,59,55.8,73.7,28,15.8,394,2,0.5
Nathaniel Clyne,Liverpool,Defender,active,,100,100,5.8,72,1,1800,3.6,3,4,0.7,12.4,1,12.3,318264,388033,35900,11569,3,1,-3,-1,0,2,6,23,0,0,0,0,0,0,9,406,310.4,456.4,189,95.5,387,5.5,4
Jon Flanagan,Burnley,Defender,minor injury,Knock - 75% chance of playing,75,75,4.3,8,0,315,1.6,2.3,1.3,0.3,1.9,0,0.2,16610,4347,649,111,-2,0,2,0,0,0,1,4,0,0,0,2,0,0,0,51,56,16.2,0,7.2,67,-0.2,0.6
Joseph Gomez,Liverpool,Defender,active,,100,100,4.8,0,0,0,0,0,0,0,0,0,0,1022,404,43,67,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1.1,0
Connor Randall,Liverpool,Defender,active,,100,100,3.9,0,0,0,0,0,0,0,0,0,1.8,37971,68705,4215,8676,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1.5,0
Bradley Smith,Bournemouth,Defender,active,,100,100,4,2,1,157,0.7,0.7,0.5,0.1,0.5,0,2.9,138061,72429,5431,3756,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,14,11.8,5.1,27,4.4,35,-0.5,1
Kevin Stewart,Liverpool,Defender,active,,100,100,4.2,4,0,20,1,1,0,0,1,0,0.1,4980,2463,143,72,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3.6,0.4,0,0.4,69,1.5,0
Joel Matip,Liverpool,Defender,minor injury,Ankle injury - 75% chance of playing,75,75,5.3,40,0,1080,3.3,4.3,0,0,7.5,0,1.8,121228,101104,6485,417,-2,-1,2,1,1,0,3,11,0,0,0,1,0,0,1,236,281.2,60,124,46.4,0,0,0
Leiva Lucas,Liverpool,Midfielder,active,,100,100,4.4,12,1,309,1.2,1,0.8,0.2,2.7,0,0.2,9272,9268,327,290,-1,0,1,0,0,0,0,7,0,0,0,1,0,0,0,63,84.6,18,27,13.2,253,2.3,0.8
Jordan Henderson,Liverpool,Midfielder,minor injury,Heel Injury - 75% chance of playing,75,75,6.3,64,0,1666,3.4,2.7,2,0.3,10.2,0,1.4,92152,92368,10987,1255,-2,-1,2,1,1,4,6,21,0,0,0,6,0,0,9,400,433.6,461.8,77,97.2,250,2.6,1.5
Joe Allen,Stoke,Midfielder,active,,100,100,5.3,78,3,1552,4.1,2,3.3,0.6,14.7,1,13.1,615865,1054997,53570,46284,3,0,-3,0,5,3,5,30,0,0,0,6,0,0,9,347,426.8,348.4,412,118.8,132,3.3,3.8
Philippe Coutinho,Liverpool,Midfielder,active,,100,100,8.2,78,0,960,6,4.7,0,0,9.5,2,15.4,2092360,1840644,19319,62793,2,0,-2,0,5,6,3,11,0,0,0,2,0,0,10,304,395.8,526.6,529,144.9,459,0,0
Emre Can,Liverpool,Midfielder,active,,100,100,4.9,44,2,872,3.1,1.7,1.5,0.3,9,0,1.9,131757,134181,9700,5434,-1,0,1,0,3,1,4,11,0,0,0,3,0,0,2,182,225.2,209.8,253,68.4,399,3,1.5
Adam Lallana,Liverpool,Midfielder,active,,100,100,7.7,105,1,1288,5.8,5.3,4.8,0.6,13.6,3,27.9,747252,1627658,102043,137215,7,1,-7,-1,7,7,5,20,0,0,0,2,0,0,13,391,507.2,391.7,515,141.1,416,6.3,4.8
Lazar Markovic,Liverpool,Midfielder,long loan,Joined Sporting Lisbon in season-long loan deal,0,0,5.4,0,0,0,0,0,0,0,0,0,0,3121,370,27,18,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oluwaseyi Ojo,Liverpool,Midfielder,active,,100,100,4.7,0,0,0,0,0,0,0,0,0,0,850,133,7,6,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1.1,0
James Milner,Liverpool,Midfielder,active,,100,100,6.4,80,0,1556,4.4,2.7,2.8,0.4,12.3,3,4.8,401305,518507,45484,6671,-1,-1,1,1,5,2,6,17,0,0,0,2,0,0,10,393,525.4,458.6,285,127.1,508,4.3,2.8
Roberto Firmino,Liverpool,Midfielder,active,,100,100,8.4,97,2,1682,5.1,5,4.5,0.5,11.4,4,11.2,897238,932845,72210,23046,-1,-1,1,1,6,5,6,22,0,0,0,2,0,0,10,321,454.4,652.4,908,201.7,522,6,4.5
